[INFO] [1767688217.511371235] [image_subscriber]: Latency avg: 207.59 ms | FPS: 18.2 | Throughput: 107.91 MB/s | Size: 5.93 MB | CPU: 20.7085% | Mem: 92.3672 MB | Threads: 9
[INFO] [1767688218.520311453] [image_subscriber]: Latency avg: 91.07 ms | FPS: 40.6 | Throughput: 241.07 MB/s | Size: 5.93 MB | CPU: 21.05% | Mem: 80.3203 MB | Threads: 9
[INFO] [1767688219.542081486] [image_subscriber]: Latency avg: 6.22 ms | FPS: 30.3 | Throughput: 180.00 MB/s | Size: 5.93 MB | CPU: 13.6345% | Mem: 80.3203 MB | Threads: 9
[INFO] [1767688220.564673312] [image_subscriber]: Latency avg: 6.05 ms | FPS: 30.3 | Throughput: 179.84 MB/s | Size: 5.93 MB | CPU: 13.0906% | Mem: 80.3203 MB | Threads: 9
[INFO] [1767688221.587902689] [image_subscriber]: Latency avg: 38.76 ms | FPS: 30.3 | Throughput: 179.74 MB/s | Size: 5.93 MB | CPU: 14.1406% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688222.611162870] [image_subscriber]: Latency avg: 8.83 ms | FPS: 30.3 | Throughput: 179.74 MB/s | Size: 5.93 MB | CPU: 14.458% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688223.635023902] [image_subscriber]: Latency avg: 6.14 ms | FPS: 30.3 | Throughput: 179.62 MB/s | Size: 5.93 MB | CPU: 13.42% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688224.656920702] [image_subscriber]: Latency avg: 5.78 ms | FPS: 30.3 | Throughput: 179.97 MB/s | Size: 5.93 MB | CPU: 13.4221% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688225.679854594] [image_subscriber]: Latency avg: 5.72 ms | FPS: 30.3 | Throughput: 179.79 MB/s | Size: 5.93 MB | CPU: 13.0356% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688226.704239463] [image_subscriber]: Latency avg: 6.55 ms | FPS: 30.3 | Throughput: 179.54 MB/s | Size: 5.93 MB | CPU: 13.8245% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688227.726095375] [image_subscriber]: Latency avg: 5.75 ms | FPS: 30.3 | Throughput: 179.98 MB/s | Size: 5.93 MB | CPU: 12.9391% | Mem: 80.3711 MB | Threads: 9
[INFO] [1767688228.749255380] [image_subscriber]: Latency avg: 38.42 ms | FPS: 30.3 | Throughput: 179.75 MB/s | Size: 5.93 MB | CPU: 14.0655% | Mem: 80.4961 MB | Threads: 9
[INFO] [1767688229.771926724] [image_subscriber]: Latency avg: 32.28 ms | FPS: 30.3 | Throughput: 179.83 MB/s | Size: 5.93 MB | CPU: 13.8172% | Mem: 80.4961 MB | Threads: 9
[INFO] [1767688230.795244428] [image_subscriber]: Latency avg: 5.85 ms | FPS: 30.3 | Throughput: 179.72 MB/s | Size: 5.93 MB | CPU: 12.7048% | Mem: 80.4961 MB | Threads: 9
[INFO] [1767688231.819200767] [image_subscriber]: Latency avg: 41.15 ms | FPS: 30.3 | Throughput: 179.61 MB/s | Size: 5.93 MB | CPU: 14.9683% | Mem: 80.4375 MB | Threads: 9
[INFO] [1767688232.841430722] [image_subscriber]: Latency avg: 5.99 ms | FPS: 30.3 | Throughput: 179.91 MB/s | Size: 5.93 MB | CPU: 13.1273% | Mem: 80.4375 MB | Threads: 9
[INFO] [1767688233.864086418] [image_subscriber]: Latency avg: 39.90 ms | FPS: 30.3 | Throughput: 179.83 MB/s | Size: 5.93 MB | CPU: 15.4158% | Mem: 80.4766 MB | Threads: 9
[INFO] [1767688234.887002187] [image_subscriber]: Latency avg: 9.54 ms | FPS: 30.3 | Throughput: 179.79 MB/s | Size: 5.93 MB | CPU: 13.1169% | Mem: 80.4766 MB | Threads: 9
[INFO] [1767688235.909995710] [image_subscriber]: Latency avg: 5.80 ms | FPS: 30.3 | Throughput: 179.78 MB/s | Size: 5.93 MB | CPU: 12.7644% | Mem: 80.4766 MB | Threads: 9
[INFO] [1767688236.933308611] [image_subscriber]: Latency avg: 5.76 ms | FPS: 30.3 | Throughput: 179.72 MB/s | Size: 5.93 MB | CPU: 12.6693% | Mem: 80.4766 MB | Threads: 9
[INFO] [1767688237.956135022] [image_subscriber]: Latency avg: 5.75 ms | FPS: 30.3 | Throughput: 179.81 MB/s | Size: 5.93 MB | CPU: 12.8564% | Mem: 80.4766 MB | Threads: 9
[INFO] [1767688238.979125308] [image_subscriber]: Latency avg: 17.07 ms | FPS: 30.3 | Throughput: 179.78 MB/s | Size: 5.93 MB | CPU: 13.3791% | Mem: 80.8516 MB | Threads: 9
[INFO] [1767688240.002108772] [image_subscriber]: Latency avg: 5.77 ms | FPS: 30.3 | Throughput: 179.78 MB/s | Size: 5.93 MB | CPU: 13.033% | Mem: 80.8516 MB | Threads: 9
[INFO] [1767688241.025546577] [image_subscriber]: Latency avg: 5.86 ms | FPS: 30.3 | Throughput: 179.70 MB/s | Size: 5.93 MB | CPU: 13.2716% | Mem: 80.8516 MB | Threads: 9
[INFO] [1767688242.048283614] [image_subscriber]: Latency avg: 22.03 ms | FPS: 30.3 | Throughput: 179.82 MB/s | Size: 5.93 MB | CPU: 13.3145% | Mem: 80.8516 MB | Threads: 9
[INFO] [1767688243.071297747] [image_subscriber]: Latency avg: 5.71 ms | FPS: 30.3 | Throughput: 179.77 MB/s | Size: 5.93 MB | CPU: 12.9362% | Mem: 80.8516 MB | Threads: 9
[INFO] [1767688244.094290718] [image_subscriber]: Latency avg: 96.31 ms | FPS: 30.3 | Throughput: 179.79 MB/s | Size: 5.93 MB | CPU: 18.9862% | Mem: 80.957 MB | Threads: 9
[INFO] [1767688245.117454360] [image_subscriber]: Latency avg: 5.69 ms | FPS: 30.3 | Throughput: 179.74 MB/s | Size: 5.93 MB | CPU: 13.0126% | Mem: 80.957 MB | Threads: 9
[INFO] [1767688246.141192779] [image_subscriber]: Latency avg: 5.83 ms | FPS: 30.3 | Throughput: 179.65 MB/s | Size: 5.93 MB | CPU: 13.111% | Mem: 80.957 MB | Threads: 9
[INFO] [1767688247.163753214] [image_subscriber]: Latency avg: 180.29 ms | FPS: 26.4 | Throughput: 156.65 MB/s | Size: 5.93 MB | CPU: 17.3614% | Mem: 80.875 MB | Threads: 9
[INFO] [1767688248.167844920] [image_subscriber]: Latency avg: 185.82 ms | FPS: 17.9 | Throughput: 106.35 MB/s | Size: 5.93 MB | CPU: 14.0508% | Mem: 92.8711 MB | Threads: 9
[INFO] [1767688249.177530023] [image_subscriber]: Latency avg: 75.31 ms | FPS: 38.6 | Throughput: 229.15 MB/s | Size: 5.93 MB | CPU: 18.2135% | Mem: 80.7617 MB | Threads: 9
[INFO] [1767688250.199618750] [image_subscriber]: Latency avg: 60.49 ms | FPS: 29.4 | Throughput: 174.13 MB/s | Size: 5.93 MB | CPU: 14.5355% | Mem: 80.7461 MB | Threads: 9
[INFO] [1767688251.222777870] [image_subscriber]: Latency avg: 6.05 ms | FPS: 30.3 | Throughput: 179.75 MB/s | Size: 5.93 MB | CPU: 13.3066% | Mem: 80.7461 MB | Threads: 9
[INFO] [1767688252.245433158] [image_subscriber]: Latency avg: 5.20 ms | FPS: 30.3 | Throughput: 179.84 MB/s | Size: 5.93 MB | CPU: 12.9187% | Mem: 80.7461 MB | Threads: 9
[INFO] [1767688253.268907443] [image_subscriber]: Latency avg: 5.56 ms | FPS: 30.3 | Throughput: 179.70 MB/s | Size: 5.93 MB | CPU: 13.2552% | Mem: 80.7461 MB | Threads: 9
[INFO] [1767688254.292131667] [image_subscriber]: Latency avg: 7.29 ms | FPS: 30.3 | Throughput: 179.74 MB/s | Size: 5.93 MB | CPU: 13.4698% | Mem: 80.7461 MB | Threads: 9
[INFO] [1767688255.314625297] [image_subscriber]: Latency avg: 55.67 ms | FPS: 30.3 | Throughput: 179.87 MB/s | Size: 5.93 MB | CPU: 16.4477% | Mem: 80.707 MB | Threads: 9
[INFO] [1767688256.337837540] [image_subscriber]: Latency avg: 5.98 ms | FPS: 30.3 | Throughput: 179.74 MB/s | Size: 5.93 MB | CPU: 13.2618% | Mem: 80.707 MB | Threads: 9
[INFO] [1767688257.361055552] [image_subscriber]: Latency avg: 6.72 ms | FPS: 30.3 | Throughput: 179.73 MB/s | Size: 5.93 MB | CPU: 12.9579% | Mem: 80.707 MB | Threads: 9
[INFO] [1767688258.384236655] [image_subscriber]: Latency avg: 7.06 ms | FPS: 30.3 | Throughput: 179.75 MB/s | Size: 5.93 MB | CPU: 13.2962% | Mem: 80.707 MB | Threads: 9
[INFO] [1767688259.407155273] [image_subscriber]: Latency avg: 39.15 ms | FPS: 30.3 | Throughput: 179.79 MB/s | Size: 5.93 MB | CPU: 14.6922% | Mem: 80.7109 MB | Threads: 9
[INFO] [1767688260.429579764] [image_subscriber]: Latency avg: 17.52 ms | FPS: 30.3 | Throughput: 179.88 MB/s | Size: 5.93 MB | CPU: 13.8188% | Mem: 80.7109 MB | Threads: 9
[INFO] [1767688261.453350218] [image_subscriber]: Latency avg: 67.75 ms | FPS: 29.3 | Throughput: 173.85 MB/s | Size: 5.93 MB | CPU: 15.8517% | Mem: 80.7109 MB | Threads: 9
[INFO] [1767688262.475743953] [image_subscriber]: Latency avg: 7.23 ms | FPS: 30.3 | Throughput: 179.88 MB/s | Size: 5.93 MB | CPU: 13.3914% | Mem: 80.7109 MB | Threads: 9
